batch_id,product_name,production_line,start_date,yield_pct,reactor_temperature_C,reactor_pH,dissolved_oxygen_pct,overall_qc_result
B001,mAb_X,Line_A,2026-01-05,88.5,36.5,7.1,40.0,pass
B002,mAb_X,Line_A,2026-01-10,84.0,36.8,7.0,38.5,pass
B003,mAb_X,Line_A,2026-01-15,90.1,37.2,7.25,42.0,pass
B004,mAb_X,Line_B,2026-01-20,82.3,35.9,6.95,36.0,pass
B005,mAb_Y,Line_B,2026-01-25,85.7,36.0,7.05,39.5,pass
B006,mAb_Y,Line_B,2026-02-01,91.3,37.8,7.4,45.0,pass
B007,mAb_Y,Line_C,2026-02-06,87.0,38.5,7.55,47.0,pass
B008,mAb_Y,Line_C,2026-02-11,82.0,39.2,7.6,50.5,fail
B009,mAb_Z,Line_C,2026-02-16,86.9,36.3,7.15,41.0,pass
B010,mAb_Z,Line_A,2026-02-21,79.8,35.5,6.85,35.5,fail
B011,mAb_Z,Line_A,2026-02-26,89.4,37.0,7.2,43.0,pass
B012,mAb_Z,Line_B,2026-03-02,86.0,37.5,7.35,44.5,pass
B013,mAb_X,Line_B,2026-03-07,92.2,38.8,7.65,48.0,pass
B014,mAb_Y,Line_C,2026-03-12,81.5,39.5,7.7,51.0,fail
B015,mAb_Z,Line_A,2026-03-17,84.9,36.2,7.05,39.0,pass
