batch_id,product_name,production_line,start_date,end_date,reactor_temperature_C,reactor_pH,dissolved_oxygen_pct,agitation_rpm,feed_rate_L_h,biomass_concentration_g_L,product_concentration_g_L,yield_pct,qc_purity_pct,qc_potency_pct,qc_contaminants_flag,overall_qc_result,shift
B001,mAb_X,Line_A,2026-01-05,2026-01-07,36.5,7.10,40.0,250,3.5,12.0,3.1,88.5,99.2,101.5,pass,pass,Day
B002,mAb_X,Line_A,2026-01-10,2026-01-12,36.8,7.00,38.5,245,3.4,11.5,2.9,84.0,98.7,100.8,pass,pass,Night
B003,mAb_X,Line_A,2026-01-15,2026-01-17,37.2,7.25,42.0,255,3.6,12.3,3.2,90.1,99.5,102.0,pass,pass,Day
B004,mAb_X,Line_B,2026-01-20,2026-01-22,35.9,6.95,36.0,230,3.1,10.8,2.7,82.3,97.8,99.9,pass,pass,Night
B005,mAb_Y,Line_B,2026-01-25,2026-01-27,36.0,7.05,39.5,240,3.3,11.2,2.8,85.7,98.5,100.2,pass,pass,Day
B006,mAb_Y,Line_B,2026-02-01,2026-02-03,37.8,7.40,45.0,260,3.8,12.8,3.4,91.3,99.8,102.5,pass,pass,Night
B007,mAb_Y,Line_C,2026-02-06,2026-02-08,38.5,7.55,47.0,270,4.0,13.0,3.3,87.0,98.9,101.0,pass,pass,Day
B008,mAb_Y,Line_C,2026-02-11,2026-02-13,39.2,7.60,50.5,275,4.2,13.5,3.2,82.0,97.5,100.4,pass,fail,Night
B009,mAb_Z,Line_C,2026-02-16,2026-02-18,36.3,7.15,41.0,245,3.4,11.9,3.0,86.9,98.6,100.9,pass,pass,Day
B010,mAb_Z,Line_A,2026-02-21,2026-02-23,35.5,6.85,35.5,225,3.0,10.2,2.5,79.8,96.9,99.0,pass,fail,Night
B011,mAb_Z,Line_A,2026-02-26,2026-02-28,37.0,7.20,43.0,255,3.6,12.1,3.1,89.4,99.1,101.8,pass,pass,Day
B012,mAb_Z,Line_B,2026-03-02,2026-03-04,37.5,7.35,44.5,260,3.7,12.4,3.0,86.0,98.3,100.7,pass,pass,Night
B013,mAb_X,Line_B,2026-03-07,2026-03-09,38.8,7.65,48.0,275,4.1,13.2,3.5,92.2,99.9,102.8,pass,pass,Day
B014,mAb_Y,Line_C,2026-03-12,2026-03-14,39.5,7.70,51.0,280,4.3,13.6,3.1,81.5,97.2,100.0,fail,fail,Night
B015,mAb_Z,Line_A,2026-03-17,2026-03-19,36.2,7.05,39.0,240,3.3,11.0,2.9,84.9,98.4,100.3,pass,pass,Day
